Chromosome,Start,End,cM,strand GRCm39,MGI ID,Feature Type,Symbol,Name
17,20402340,20403359,11.4,-,MGI:2448176,protein coding gene,Fpr-rs6,"formyl peptide receptor, related sequence 6"
17,20333472,20334488,11.4,-,MGI:2448177,protein coding gene,Fpr-rs7,"formyl peptide receptor, related sequence 7"
17,18190720,18191939,10.66,+,MGI:1194495,protein coding gene,Fpr3,formyl peptide receptor 3
17,18241995,18242966,11.04,+,MGI:1278317,protein coding gene,Fpr-rs4,"formyl peptide receptor, related sequence 4"
17,20844108,20845139,11.4,-,MGI:1278318,protein coding gene,Fpr-rs3,"formyl peptide receptor, related sequence 3"
17,18108086,18114214,10.66,+,MGI:1278319,protein coding gene,Fpr2,formyl peptide receptor 2
6,122824099,122833116,57.93,-,MGI:1097680,protein coding gene,C3ar1,complement component 3a receptor 1
7,3715504,3723381,2.14,-,MGI:894311,protein coding gene,Pirb,paired Ig-like receptor B
4,118299612,118314710,54.61,-,MGI:97076,protein coding gene,Mpl,myeloproliferative leukemia virus oncogene
7,15968512,15978079,8.77,-,MGI:2442013,protein coding gene,C5ar2,complement component 5a receptor 2
7,15980668,15993465,8.77,-,MGI:88232,protein coding gene,C5ar1,complement component 5a receptor 1
13,112649439,112717266,63.75,-,MGI:2180511,protein coding gene,Il31ra,interleukin 31 receptor A
5,113750415,113788487,55.55,-,MGI:109603,protein coding gene,Cmklr1,chemerin chemokine-like receptor 1
4,125918343,125938233,59.77,+,MGI:1339755,protein coding gene,Csf3r,colony stimulating factor 3 receptor
11,32137541,32150279,18.82,-,MGI:96564,protein coding gene,Il9r,interleukin 9 receptor
9,89936320,89958148,47.4,+,MGI:107285,protein coding gene,Ctsh,cathepsin H
15,78210000,78235201,37.36,+,MGI:1339759,protein coding gene,Csf2rb,"colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)"
15,78166707,78189921,37.22,-,MGI:1339760,protein coding gene,Csf2rb2,"colony stimulating factor 2 receptor, beta 2, low-affinity (granulocyte-macrophage)"
2,11647618,11698004,8.91,+,MGI:96549,protein coding gene,Il2ra,"interleukin 2 receptor, alpha chain"
15,78363456,78379471,37.52,-,MGI:96550,protein coding gene,Il2rb,"interleukin 2 receptor, beta chain"
7,125202601,125232742,68.98,+,MGI:1890475,protein coding gene,Il21r,interleukin 21 receptor
17,34524841,34535648,17.98,+,MGI:95901,protein coding gene,H2-Eb1,"histocompatibility 2, class II antigen E beta"
12,52069786,52074846,22.11,-,MGI:1277106,protein coding gene,Gpr33,G protein-coupled receptor 33
17,18096733,18104201,10.63,-,MGI:107443,protein coding gene,Fpr1,formyl peptide receptor 1
9,123777280,123778445,75.05,-,MGI:104617,protein coding gene,Ccr1l1,C-C motif chemokine receptor 1 like 1
1,40363770,40406722,18.96,+,MGI:1913107,protein coding gene,Il1rl2,interleukin 1 receptor-like 2
5,147267551,147337299,86.88,-,MGI:95559,protein coding gene,Flt3,FMS-like tyrosine kinase 3
1,74193153,74200405,38.41,+,MGI:105303,protein coding gene,Cxcr2,C-X-C motif chemokine receptor 2
17,34544639,34560386,17.98,+,MGI:95902,protein coding gene,H2-Eb2,"histocompatibility 2, class II antigen E beta2"
X,100307991,100311861,43.9,-,MGI:96551,protein coding gene,Il2rg,"interleukin 2 receptor, gamma chain"
2,11709992,11738796,8.97,+,MGI:104644,protein coding gene,Il15ra,"interleukin 15 receptor, alpha chain"
6,120440143,120460692,56.95,+,MGI:107399,protein coding gene,Il17ra,interleukin 17 receptor A
7,3911279,3918502,2.25,-,MGI:1195969,protein coding gene,Lilra6,"leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 6"
7,3839811,3848050,2.21,-,MGI:1195970,protein coding gene,Pira2,paired-Ig-like receptor A2
1,130754421,130779986,56.89,+,MGI:103080,protein coding gene,Pigr,polymeric immunoglobulin receptor
7,3819780,3828686,2.2,-,MGI:3705216,protein coding gene,Pira13,paired-Ig-like receptor A13
7,3887241,3901119,2.24,-,MGI:3709645,protein coding gene,Pira12,paired-Ig-like receptor A12
13,112600604,112643394,63.73,+,MGI:96560,protein coding gene,Il6st,interleukin 6 signal transducer
15,10177324,10349266,5.23,+,MGI:97763,protein coding gene,Prlr,prolactin receptor
10,19467697,19485977,8.49,+,MGI:107655,protein coding gene,Ifngr1,interferon gamma receptor 1
4,135413598,135435492,67.94,+,MGI:2429859,protein coding gene,Ifnlr1,interferon lambda receptor 1
1,170846495,170857330,78.53,+,MGI:2179523,protein coding gene,Fcgr4,"Fc receptor, IgG, low affinity IV"
16,91169671,91202477,52.82,+,MGI:1098243,protein coding gene,Ifnar2,interferon (alpha and beta) receptor 2
X,100775141,100777753,44.58,-,MGI:1277207,protein coding gene,Cxcr3,C-X-C motif chemokine receptor 3
16,91343947,91360895,53.07,+,MGI:107654,protein coding gene,Ifngr2,interferon gamma receptor 2
9,44423084,44437741,24.84,-,MGI:103567,protein coding gene,Cxcr5,C-X-C motif chemokine receptor 5
16,91282126,91304329,52.98,+,MGI:107658,protein coding gene,Ifnar1,interferon (alpha and beta) receptor 1
9,123822009,123831726,75.05,+,MGI:104616,protein coding gene,Ccr3,C-C motif chemokine receptor 3
16,26400454,26548867,18.21,+,MGI:104975,protein coding gene,Il1rap,interleukin 1 receptor accessory protein
1,74230944,74233790,38.44,-,MGI:2448715,protein coding gene,Cxcr1,C-X-C motif chemokine receptor 1
6,113448416,113460124,52.77,+,MGI:2159336,protein coding gene,Il17rc,interleukin 17 receptor C
1,52695463,52766495,26.99,-,MGI:1922925,protein coding gene,Mfsd6,major facilitator superfamily domain containing 6
9,123596276,123612522,74.33,+,MGI:1341902,protein coding gene,Ccr9,C-C motif chemokine receptor 9
1,92878587,92914113,46.65,+,MGI:1929509,protein coding gene,Gpr35,G protein-coupled receptor 35
9,114319384,114333984,64.49,-,MGI:107824,protein coding gene,Ccr4,C-C motif chemokine receptor 4
6,106687336,106725998,49.19,-,MGI:96558,protein coding gene,Il5ra,"interleukin 5 receptor, alpha"
1,128515936,128520030,56.43,-,MGI:109563,protein coding gene,Cxcr4,C-X-C motif chemokine receptor 4
9,123635542,123640819,74.57,+,MGI:1934582,protein coding gene,Cxcr6,C-X-C motif chemokine receptor 6
9,121727421,121740140,72.71,+,MGI:1891697,protein coding gene,Ackr2,atypical chemokine receptor 2
4,101574601,101672549,46.96,+,MGI:104993,protein coding gene,Lepr,leptin receptor
9,110883902,110886586,60.92,-,MGI:1920904,protein coding gene,Ccrl2,C-C motif chemokine receptor-like 2
9,123921557,123934153,75.05,+,MGI:107182,protein coding gene,Ccr5,C-C motif chemokine receptor 5
4,41760443,41769473,21.94,+,MGI:107426,protein coding gene,Il11ra1,interleukin 11 receptor subunit alpha 1
9,103974881,104003842,56.47,-,MGI:2181676,protein coding gene,Ackr4,atypical chemokine receptor 4
9,123681380,123691094,74.71,-,MGI:1346338,protein coding gene,Xcr1,chemokine (C motif) receptor 1
1,90131702,90143446,45.28,+,MGI:109562,protein coding gene,Ackr3,atypical chemokine receptor 3
11,101063824,101066269,64.34,-,MGI:1096320,protein coding gene,Ccr10,C-C motif chemokine receptor 10
9,119921199,119923972,71.39,+,MGI:1201402,protein coding gene,Ccr8,C-C motif chemokine receptor 8
17,56259640,56264022,29.08,+,MGI:1354171,protein coding gene,Ebi3,Epstein-Barr virus induced gene 3
1,40123872,40164390,18.65,+,MGI:96546,protein coding gene,Il1r2,"interleukin 1 receptor, type II"
14,8114270,8123851,7.08,-,MGI:96553,protein coding gene,Il3ra,"interleukin 3 receptor, alpha chain"
6,113435659,113447719,52.76,+,MGI:1889371,protein coding gene,Il17re,interleukin 17 receptor E
4,135455483,135479451,67.99,+,MGI:2663588,protein coding gene,Il22ra1,"interleukin 22 receptor, alpha 1"
10,19497776,19510429,8.52,+,MGI:2665114,protein coding gene,Il22ra2,"interleukin 22 receptor, alpha 2"
3,121517186,121528697,52.94,+,MGI:88381,protein coding gene,F3,coagulation factor III
9,45165135,45180447,24.84,-,MGI:96538,protein coding gene,Il10ra,"interleukin 10 receptor, alpha"
16,91203166,91222718,52.87,+,MGI:109380,protein coding gene,Il10rb,"interleukin 10 receptor, beta"
14,29718125,29730853,18.39,-,MGI:1355292,protein coding gene,Il17rb,interleukin 17 receptor B
7,4240753,4246462,2.45,+,MGI:3647196,protein coding gene,Lilra5,"leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 5"
9,21870193,21874802,7.93,-,MGI:95408,protein coding gene,Epor,erythropoietin receptor
15,3347237,3612834,1.84,-,MGI:95708,protein coding gene,Ghr,growth hormone receptor
11,30835358,30843729,18.16,+,MGI:2441843,protein coding gene,Gpr75,G protein-coupled receptor 75
X,135418748,135435055,58.77,+,MGI:2652397,protein coding gene,Kir3dl1,"killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1"
19,61212395,61216867,56.89,-,MGI:1339754,protein coding gene,Csf2ra,"colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)"
8,70945808,70956731,34.15,+,MGI:1340030,protein coding gene,Crlf1,cytokine receptor-like factor 1
2,130881552,130885008,63.26,-,MGI:1341873,protein coding gene,Gfra4,glial cell line derived neurotrophic factor family receptor alpha 4
15,7120095,7226970,3.46,+,MGI:96788,protein coding gene,Lifr,LIF receptor alpha
7,89053574,89062341,49.32,+,MGI:108520,protein coding gene,Fzd4,frizzled class receptor 4
4,42656001,42665744,22.73,-,MGI:109123,protein coding gene,Il11ra2,interleukin 11 receptor subunit alpha 2
5,125354151,125418158,64.11,-,MGI:893578,protein coding gene,Scarb1,"scavenger receptor class B, member 1"
14,71127560,71217278,36.79,+,MGI:1195462,protein coding gene,Gfra2,glial cell line derived neurotrophic factor family receptor alpha 2
X,136471357,137747695,59.1,+,MGI:1913106,protein coding gene,Il1rapl2,interleukin 1 receptor accessory protein-like 2
X,35375763,35434912,20.49,+,MGI:105052,protein coding gene,Il13ra1,"interleukin 13 receptor, alpha 1"
15,6843049,6904434,3.3,-,MGI:1330819,protein coding gene,Osmr,oncostatin M receptor
4,41657498,41697089,21.81,-,MGI:99605,protein coding gene,Cntfr,ciliary neurotrophic factor receptor
14,26760990,26829243,16.09,+,MGI:2159727,protein coding gene,Il17rd,interleukin 17 receptor D
6,67268302,67353172,30.81,-,MGI:1270861,protein coding gene,Il12rb2,"interleukin 12 receptor, beta 2"
10,19588318,19635801,8.76,+,MGI:3605069,protein coding gene,Il20ra,"interleukin 20 receptor, alpha"
9,76071389,76120939,42.48,-,MGI:3607786,protein coding gene,Gfral,GDNF family receptor alpha like
X,135348856,135444805,58.45,-,MGI:3612791,protein coding gene,Kir3dl2,"killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2"
4,42158842,42168603,22.5,-,MGI:3801997,protein coding gene,Il11ra3,interleukin 11 receptor subunit alpha 3
11,53503287,53509492,31.97,-,MGI:96556,protein coding gene,Il4,interleukin 4
11,96988897,97006157,60.95,-,MGI:1888984,protein coding gene,Tbx21,T-box 21
X,7445915,7461482,3.41,+,MGI:1891436,protein coding gene,Foxp3,forkhead box P3
7,25386427,25404502,13.98,+,MGI:98725,protein coding gene,Tgfb1,"transforming growth factor, beta 1"
8,89373943,89415102,43.51,+,MGI:2429397,protein coding gene,Nod2,nucleotide-binding oligomerization domain containing 2
1,161223009,161245777,69.75,+,MGI:104511,protein coding gene,Tnfsf4,"tumor necrosis factor (ligand) superfamily, member 4"
10,118276951,118281797,66.75,+,MGI:107656,protein coding gene,Ifng,interferon gamma
1,137990599,138103446,60.73,-,MGI:97810,protein coding gene,Ptprc,protein tyrosine phosphatase receptor type C
17,35658131,35662749,18.67,+,MGI:95936,protein coding gene,H2-Q7,"histocompatibility 2, Q region locus 7"
17,35482070,35486473,18.61,+,MGI:95896,protein coding gene,H2-D1,"histocompatibility 2, D region locus 1"
17,34214986,34219316,17.98,-,MGI:95904,protein coding gene,H2-K1,"histocompatibility 2, K1, K region"
17,35539381,35544075,18.63,+,MGI:95928,protein coding gene,H2-Q1,"histocompatibility 2, Q region locus 1"
17,35780986,35785460,18.68,+,MGI:95929,protein coding gene,H2-Q10,"histocompatibility 2, Q region locus 10"
17,35561283,35565740,18.64,+,MGI:95931,protein coding gene,H2-Q2,"histocompatibility 2, Q region locus 2"
17,35598593,35603650,18.65,+,MGI:95933,protein coding gene,H2-Q4,"histocompatibility 2, Q region locus 4"
17,35643826,35649031,18.66,+,MGI:95935,protein coding gene,H2-Q6,"histocompatibility 2, Q region locus 6"
17,36475335,36479429,18.97,-,MGI:95961,protein coding gene,H2-T5,"histocompatibility 2, T region locus 5"
17,,,,,MGI:95912,protein coding gene,H2-L,"histocompatibility 2, D region locus L"
17,36980900,36983111,19.16,-,MGI:95913,protein coding gene,H2-M1,"histocompatibility 2, M region locus 1"
17,37791742,37794443,19.16,-,MGI:95914,protein coding gene,H2-M2,"histocompatibility 2, M region locus 2"
17,37294953,37300429,19.16,-,MGI:95917,protein coding gene,H2-M5,"histocompatibility 2, M region locus 5"
17,36348020,36353634,18.87,-,MGI:95956,protein coding gene,H2-T22,"histocompatibility 2, T region locus 22"
17,36340869,36343593,18.86,-,MGI:95957,protein coding gene,H2-T23,"histocompatibility 2, T region locus 23"
17,36496463,36501043,18.99,-,MGI:95959,protein coding gene,H2-T3,"histocompatibility 2, T region locus 3"
17,36349299,36432318,18.94,-,MGI:95965,protein coding gene,H2-T9,"histocompatibility 2, T region locus 9"
17,36857967,36860142,19.16,+,MGI:2676637,protein coding gene,H2-M11,"histocompatibility 2, M region locus 11"
17,37123067,37126458,19.16,+,MGI:2687364,protein coding gene,H2-M10.6,"histocompatibility 2, M region locus 10.6"
17,36633752,36637042,19.01,-,MGI:1276522,protein coding gene,H2-M10.1,"histocompatibility 2, M region locus 10.1"
17,36675896,36679309,19.01,-,MGI:1276524,protein coding gene,H2-M10.3,"histocompatibility 2, M region locus 10.3"
17,36595173,36597313,19.01,-,MGI:1276525,protein coding gene,H2-M10.2,"histocompatibility 2, M region locus 10.2"
17,37083802,37087126,19.16,+,MGI:1276526,protein coding gene,H2-M10.5,"histocompatibility 2, M region locus 10.5"
17,36769809,36773221,19.09,-,MGI:1276527,protein coding gene,H2-M10.4,"histocompatibility 2, M region locus 10.4"
17,36950177,36953558,19.16,-,MGI:1276570,protein coding gene,H2-M9,"histocompatibility 2, M region locus 9"
3,37174862,37180103,18.3,-,MGI:96548,protein coding gene,Il2,interleukin 2
16,23783802,23807602,15.26,-,MGI:107187,protein coding gene,Bcl6,B cell leukemia/lymphoma 6
1,164759216,164763094,72.26,-,MGI:104593,protein coding gene,Xcl1,chemokine (C motif) ligand 1
1,171594700,171628752,79.54,+,MGI:1351314,protein coding gene,Slamf1,signaling lymphocytic activation molecule family member 1
17,35418357,35420983,18.59,-,MGI:104798,protein coding gene,Tnf,tumor necrosis factor
11,59432395,59457781,37.73,+,MGI:2653833,protein coding gene,Nlrp3,"NLR family, pyrin domain containing 3"
10,127478855,127496826,74.59,+,MGI:103034,protein coding gene,Stat6,signal transducer and activator of transcription 6
9,50466127,50493140,27.75,+,MGI:107936,protein coding gene,Il18,interleukin 18
2,9861889,9894845,6.69,-,MGI:95663,protein coding gene,Gata3,GATA binding protein 3
5,30218112,30224973,15.7,+,MGI:96559,protein coding gene,Il6,interleukin 6
6,48723131,48731134,23.71,+,MGI:2442232,protein coding gene,Gimap5,"GTPase, IMAP family member 5"
6,48741398,48747785,23.72,-,MGI:1932723,protein coding gene,Gimap3,"GTPase, IMAP family member 3"
17,48653429,48659304,23.99,+,MGI:1913150,protein coding gene,Trem2,triggering receptor expressed on myeloid cells 2
18,89195091,89290353,59.05,+,MGI:3039602,protein coding gene,Cd226,CD226 antigen
18,65564010,65611959,38.56,+,MGI:2445027,protein coding gene,Malt1,MALT1 paracaspase
7,142606487,142621667,88.1,+,MGI:1096398,protein coding gene,Cd81,CD81 antigen
10,24791105,24803368,12.26,-,MGI:88070,protein coding gene,Arg1,"arginase, liver"
1,55116994,55127402,28.01,-,MGI:96242,protein coding gene,Hspd1,heat shock protein 1 (chaperonin)
X,133443085,133484319,56.18,-,MGI:88216,protein coding gene,Btk,Bruton agammaglobulinemia tyrosine kinase
4,155344586,155445818,86.17,-,MGI:97602,protein coding gene,Prkcz,"protein kinase C, zeta"
7,19450569,19483498,9.94,-,MGI:97822,protein coding gene,Nectin2,nectin cell adhesion molecule 2
16,55631740,55659018,33.65,-,MGI:1931595,protein coding gene,Nfkbiz,"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, zeta"
11,46345762,46372082,27.9,+,MGI:2159682,protein coding gene,Havcr2,hepatitis A virus cellular receptor 2
10,128132009,128133953,76.51,-,MGI:1932410,protein coding gene,Il23a,"interleukin 23, alpha subunit p19"
3,37276908,37286785,18.36,-,MGI:1890474,protein coding gene,Il21,interleukin 21
6,124697670,124715672,59.17,-,MGI:96055,protein coding gene,Ptpn6,"protein tyrosine phosphatase, non-receptor type 6"
13,23886017,23894837,9.88,-,MGI:109191,protein coding gene,Hfe,homeostatic iron regulator
2,164897535,164913574,85.38,+,MGI:88336,protein coding gene,Cd40,CD40 antigen
1,130366764,130390481,56.89,-,MGI:104850,protein coding gene,Cd55,"CD55 molecule, decay accelerating factor for complement"
5,148983512,148989867,89.18,-,MGI:96113,protein coding gene,Hmgb1,high mobility group box 1
1,194719134,194774557,98.41,-,MGI:1203290,protein coding gene,Cd46,"CD46 antigen, complement regulatory protein"
4,88440262,88441011,41.91,-,MGI:107657,protein coding gene,Ifnb1,"interferon beta 1, fibroblast"
3,68597977,68605880,31.92,+,MGI:96539,protein coding gene,Il12a,interleukin 12a
18,75500600,75529006,51.06,+,MGI:1100518,protein coding gene,Smad7,SMAD family member 7
13,95648240,95661735,49.53,-,MGI:101910,protein coding gene,F2rl1,F2R like trypsin receptor 1
19,4264479,4273548,3.91,+,MGI:1930088,protein coding gene,Clcf1,cardiotrophin-like cytokine factor 1
1,130316274,130350746,56.89,-,MGI:104849,protein coding gene,Cd55b,"CD55 molecule, decay accelerating factor for complement B"
6,129554868,129562790,63.41,+,MGI:2662547,protein coding gene,Klre1,killer cell lectin-like receptor family E member 1
2,90912750,90946104,50.44,+,MGI:98282,protein coding gene,Spi1,spleen focus forming virus (SFFV) proviral integration oncogene
1,60785547,60812521,30.52,+,MGI:88327,protein coding gene,Cd28,CD28 antigen
2,101508774,101532014,53.9,+,MGI:108072,protein coding gene,Traf6,TNF receptor-associated factor 6
4,16122733,16163647,6.7,-,MGI:1891456,protein coding gene,Ripk2,receptor (TNFRSF)-interacting serine-threonine kinase 2
18,38551960,38598250,20.32,+,MGI:1929601,protein coding gene,Ndfip1,Nedd4 family interacting protein 1
12,26492745,26506451,9.69,-,MGI:1929628,protein coding gene,Rsad2,radical S-adenosyl methionine domain containing 2
8,72129027,72143221,34.43,+,MGI:99928,protein coding gene,Jak3,Janus kinase 3
11,69573672,69576610,42.86,-,MGI:1916833,protein coding gene,Tnfsf13,"tumor necrosis factor (ligand) superfamily, member 13"
15,103362221,103407237,58.96,+,MGI:1926063,protein coding gene,Nckap1l,NCK associated protein 1 like
2,129206490,129213059,62.97,-,MGI:96543,protein coding gene,Il1b,interleukin 1 beta
11,117688486,117698127,82.96,+,MGI:1924977,protein coding gene,6030468B19Rik,RIKEN cDNA 6030468B19 gene
7,105240818,105249323,55.91,-,MGI:105112,protein coding gene,Hpx,hemopexin
17,87979960,88031141,57.87,+,MGI:101816,protein coding gene,Msh2,mutS homolog 2
5,143846782,143870786,82.82,+,MGI:104288,protein coding gene,Pms2,"PMS1 homolog2, mismatch repair system component"
9,111057296,111100854,60.92,-,MGI:101938,protein coding gene,Mlh1,mutL homolog 1
17,34423453,34435295,17.98,+,MGI:98484,protein coding gene,Tap2,"transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)"
16,32427738,32451612,23.06,+,MGI:98822,protein coding gene,Tfrc,transferrin receptor
11,79980226,80026620,47.48,+,MGI:2442925,protein coding gene,Atad5,"ATPase family, AAA domain containing 5"
19,3817421,3868303,3.5,+,MGI:2444557,protein coding gene,Kmt5b,lysine methyltransferase 5B
4,31964097,32023467,13.91,+,MGI:1346877,protein coding gene,Map3k7,mitogen-activated protein kinase kinase kinase 7
2,121023762,121101888,60.37,-,MGI:1351320,protein coding gene,Trp53bp1,transformation related protein 53 binding protein 1
2,51962844,52012395,29.98,+,MGI:1098622,protein coding gene,Rif1,replication timing regulatory factor 1
5,27945078,27996689,13.23,-,MGI:1890430,protein coding gene,Paxip1,PAX interacting (with transcription-activation domain) protein 1
7,4743114,4750513,2.74,+,MGI:2385262,protein coding gene,Kmt5c,lysine methyltransferase 5C
4,148214841,148230156,78.67,+,MGI:1919140,protein coding gene,Mad2l2,MAD2 mitotic arrest deficient-like 2
8,111782971,111784296,57.92,+,MGI:1919794,protein coding gene,Exosc6,exosome component 6
2,132528871,132592975,64.74,+,MGI:1920997,protein coding gene,Shld1,shieldin complex subunit 1
5,33978069,34055319,17.83,+,MGI:1276574,protein coding gene,Nsd2,nuclear receptor binding SET domain protein 2
14,33958990,34032450,20.8,-,MGI:1922948,protein coding gene,Shld2,shieldin complex subunit 2
4,45316613,45320616,23.84,-,MGI:1913612,protein coding gene,Exosc3,exosome component 3
6,87890917,87913611,39.13,+,MGI:1914053,protein coding gene,Hmces,"5-hydroxymethylcytosine (hmC) binding, ES cell specific"
7,126614223,126616524,69.27,-,MGI:1914528,protein coding gene,Pagr1a,PAXIP1 associated glutamate rich protein 1A
13,104310230,104314947,,-,MGI:6194609,protein coding gene,Shld3,shieldin complex subunit 3
13,52737209,52802828,27.41,+,MGI:99515,protein coding gene,Syk,spleen tyrosine kinase
1,170104889,170114338,76.84,+,MGI:1349420,protein coding gene,Sh2d1b1,SH2 domain containing 1B1
11,78853805,78875750,46.74,-,MGI:109496,protein coding gene,Lgals9,"lectin, galactose binding, soluble 9"
17,36452650,36456815,18.95,-,MGI:95963,protein coding gene,H2-T7,"histocompatibility 2, T region locus 7"
1,138891447,139103781,60.84,+,MGI:2447812,protein coding gene,Dennd1b,DENN domain containing 1B
11,53660841,53669200,32,+,MGI:96590,protein coding gene,Irf1,interferon regulatory factor 1
7,126731404,126736995,69.35,-,MGI:98384,protein coding gene,Spn,sialophorin
17,57510970,57535136,29.72,-,MGI:88227,protein coding gene,C3,complement component 3
17,37581111,37585375,19.16,+,MGI:95915,protein coding gene,H2-M3,"histocompatibility 2, M region locus 3"
